"subjectID","wave","task","run","nVols","percent"
"PC001",1,"fla",1,5,3
"PC001",1,"fla",2,2,1.2
"PC001",1,"food",1,94,38.4
"PC001",1,"food",2,55,22.4
"PC001",1,"gng",1,3,1.6
"PC001",1,"gng",2,70,37
"PC002",1,"fla",1,30,18.2
"PC002",1,"fla",2,23,13.9
"PC002",1,"food",1,102,41.6
"PC002",1,"food",2,75,30.6
"PC002",1,"gng",1,22,12
"PC002",1,"gng",2,13,6.9
"PC003",1,"fla",1,0,0
"PC003",1,"fla",2,0,0
"PC003",1,"food",1,0,0
"PC003",1,"food",2,0,0
"PC003",1,"gng",1,0,0
"PC003",1,"gng",2,0,0
"PC004",1,"fla",1,7,4.2
"PC004",1,"fla",2,19,11.5
"PC004",1,"food",1,14,5.7
"PC004",1,"food",2,27,11.1
"PC004",1,"gng",1,5,2.6
"PC004",1,"gng",2,14,7.6
"PC005",1,"fla",1,0,0
"PC005",1,"fla",2,0,0
"PC005",1,"food",1,0,0
"PC005",1,"food",2,0,0
"PC005",1,"gng",1,0,0
"PC005",1,"gng",2,0,0
"PC006",1,"fla",1,0,0
"PC006",1,"fla",2,10,6.1
"PC006",1,"food",1,0,0
"PC006",1,"food",2,9,3.7
"PC006",1,"gng",1,8,4.3
"PC006",1,"gng",2,13,6.9
"PC007",1,"fla",1,1,0.6
"PC007",1,"fla",2,0,0
"PC007",1,"food",1,0,0
"PC007",1,"food",2,3,1.2
"PC007",1,"gng",1,0,0
"PC007",1,"gng",2,0,0
"PC008",1,"fla",1,0,0
"PC008",1,"fla",2,0,0
"PC008",1,"food",1,0,0
"PC008",1,"food",2,0,0
"PC008",1,"gng",1,0,0
"PC008",1,"gng",2,0,0
"PC009",1,"fla",1,0,0
"PC009",1,"fla",2,0,0
"PC009",1,"food",2,0,0
"PC009",1,"gng",1,2,1.1
"PC009",1,"gng",2,1,0.5
"PC010",1,"fla",1,0,0
"PC010",1,"fla",2,0,0
"PC010",1,"food",1,0,0
"PC010",1,"food",2,0,0
"PC010",1,"gng",1,0,0
"PC010",1,"gng",2,4,2.1
"PC011",1,"fla",1,0,0
"PC011",1,"fla",2,2,1.2
"PC011",1,"food",1,3,1.2
"PC011",1,"food",2,2,0.8
"PC011",1,"gng",1,0,0
