"subjectID","wave","task","nVols","percent"
"PC001",1,"fla",7,2.1
"PC001",1,"food",149,30.4
"PC001",1,"gng",73,19.3
"PC002",1,"fla",53,16.1
"PC002",1,"food",177,36.1
"PC002",1,"gng",35,9.4
"PC003",1,"fla",0,0
"PC003",1,"food",0,0
"PC003",1,"gng",0,0
"PC004",1,"fla",26,7.9
"PC004",1,"food",41,8.4
"PC004",1,"gng",19,5.1
"PC005",1,"fla",0,0
"PC005",1,"food",0,0
"PC005",1,"gng",0,0
"PC006",1,"fla",10,3
"PC006",1,"food",9,1.9
"PC006",1,"gng",21,5.6
"PC007",1,"fla",1,0.3
"PC007",1,"food",3,0.6
"PC007",1,"gng",0,0
"PC008",1,"fla",0,0
"PC008",1,"food",0,0
"PC008",1,"gng",0,0
"PC009",1,"fla",0,0
"PC009",1,"food",0,0
"PC009",1,"gng",3,0.8
"PC010",1,"fla",0,0
"PC010",1,"food",0,0
"PC010",1,"gng",4,1.1
"PC011",1,"fla",2,0.6
"PC011",1,"food",5,1
"PC011",1,"gng",1,0.3
"PC012",1,"fla",2,0.6
"PC012",1,"food",17,3.5
"PC012",1,"gng",13,3.4
"PC013",1,"fla",10,3
"PC013",1,"food",88,18
"PC014",1,"fla",0,0
"PC014",1,"food",2,0.4
"PC014",1,"gng",8,2.1
"PC015",1,"fla",0,0
"PC015",1,"food",9,1.8
"PC015",1,"gng",7,1.9
"PC017",1,"fla",0,0
"PC017",1,"food",0,0
"PC017",1,"gng",0,0
"PC018",1,"fla",0,0
"PC018",1,"food",0,0
"PC018",1,"gng",0,0
"PC021",1,"fla",18,5.5
"PC021",1,"food",33,6.7
"PC021",1,"gng",23,6.1
"PC022",1,"fla",0,0
"PC022",1,"food",0,0
"PC022",1,"gng",0,0
"PC023",1,"fla",1,0.3
"PC023",1,"food",0,0
"PC023",1,"gng",0,0
"PC024",1,"fla",5,1.5
"PC024",1,"food",2,0.4
"PC024",1,"gng",5,1.3
"PC025",1,"fla",0,0
"PC025",1,"food",1,0.2
"PC025",1,"gng",0,0
"PC026",1,"fla",0,0
"PC026",1,"food",0,0
"PC026",1,"gng",0,0
"PC027",1,"fla",4,1.2
"PC027",1,"food",13,2.7
"PC027",1,"gng",5,1.4
"PC029",1,"fla",2,0.6
"PC029",1,"food",0,0
"PC029",1,"gng",0,0
"PC030",1,"fla",0,0
"PC030",1,"food",0,0
"PC030",1,"gng",0,0
"PC031",1,"fla",1,0.3
"PC031",1,"food",0,0
"PC031",1,"gng",0,0
"PC032",1,"fla",0,0
"PC032",1,"food",0,0
"PC032",1,"gng",0,0
"PC033",1,"fla",0,0
"PC033",1,"food",0,0
"PC033",1,"gng",0,0
"PC034",1,"fla",0,0
"PC034",1,"food",8,1.6
"PC034",1,"gng",0,0
"PC036",1,"fla",2,0.6
"PC036",1,"food",0,0
"PC036",1,"gng",0,0
"PC037",1,"fla",3,0.9
"PC037",1,"food",13,2.7
"PC037",1,"gng",8,2.1
"PC038",1,"fla",2,0.6
"PC038",1,"food",6,1.2
"PC038",1,"gng",3,0.8
"PC039",1,"fla",12,3.6
"PC039",1,"food",60,12.2
"PC039",1,"gng",9,2.4
"PC041",1,"fla",1,0.3
"PC041",1,"food",10,2
"PC041",1,"gng",18,4.8
"PC042",1,"fla",0,0
"PC042",1,"food",0,0
"PC042",1,"gng",0,0
"PC043",1,"fla",76,23
"PC043",1,"food",31,6.3
"PC043",1,"gng",0,0
"PC044",1,"fla",2,0.6
"PC044",1,"food",2,0.4
"PC044",1,"gng",5,1.3
"PC045",1,"fla",0,0
"PC045",1,"food",0,0
"PC045",1,"gng",0,0
"PC046",1,"fla",2,0.6
"PC046",1,"food",4,0.8
"PC046",1,"gng",5,1.3
"PC047",1,"fla",4,1.2
"PC047",1,"food",0,0
"PC047",1,"gng",1,0.3
"PC048",1,"fla",0,0
"PC048",1,"food",0,0
"PC048",1,"gng",0,0
