"subjectID","wave","task","run","volume","trash"
"PC001",1,"fla",1,21,1
"PC001",1,"fla",1,39,1
"PC001",1,"fla",1,54,1
"PC001",1,"fla",1,118,1
"PC001",1,"fla",1,134,1
"PC001",1,"fla",2,53,1
"PC001",1,"fla",2,54,1
"PC001",1,"food",1,9,1
"PC001",1,"food",1,12,1
"PC001",1,"food",1,13,1
"PC001",1,"food",1,28,1
"PC001",1,"food",1,29,1
"PC001",1,"food",1,30,1
"PC001",1,"food",1,31,1
"PC001",1,"food",1,36,1
"PC001",1,"food",1,62,1
"PC001",1,"food",1,64,1
"PC001",1,"food",1,65,1
"PC001",1,"food",1,66,1
"PC001",1,"food",1,76,1
"PC001",1,"food",1,80,1
"PC001",1,"food",1,81,1
"PC001",1,"food",1,82,1
"PC001",1,"food",1,83,1
"PC001",1,"food",1,85,1
"PC001",1,"food",1,86,1
"PC001",1,"food",1,87,1
"PC001",1,"food",1,88,1
"PC001",1,"food",1,92,1
"PC001",1,"food",1,95,1
"PC001",1,"food",1,96,1
"PC001",1,"food",1,100,1
"PC001",1,"food",1,101,1
"PC001",1,"food",1,102,1
"PC001",1,"food",1,107,1
"PC001",1,"food",1,109,1
"PC001",1,"food",1,110,1
"PC001",1,"food",1,114,1
"PC001",1,"food",1,115,1
"PC001",1,"food",1,116,1
"PC001",1,"food",1,117,1
"PC001",1,"food",1,118,1
"PC001",1,"food",1,120,1
"PC001",1,"food",1,121,1
"PC001",1,"food",1,124,1
"PC001",1,"food",1,125,1
"PC001",1,"food",1,126,1
"PC001",1,"food",1,127,1
"PC001",1,"food",1,128,1
"PC001",1,"food",1,129,1
"PC001",1,"food",1,130,1
"PC001",1,"food",1,131,1
"PC001",1,"food",1,132,1
"PC001",1,"food",1,133,1
"PC001",1,"food",1,134,1
"PC001",1,"food",1,135,1
"PC001",1,"food",1,138,1
"PC001",1,"food",1,139,1
"PC001",1,"food",1,140,1
"PC001",1,"food",1,154,1
"PC001",1,"food",1,155,1
"PC001",1,"food",1,157,1
"PC001",1,"food",1,161,1
"PC001",1,"food",1,162,1
"PC001",1,"food",1,163,1
"PC001",1,"food",1,166,1
"PC001",1,"food",1,167,1
"PC001",1,"food",1,168,1
"PC001",1,"food",1,169,1
"PC001",1,"food",1,170,1
"PC001",1,"food",1,175,1
"PC001",1,"food",1,176,1
"PC001",1,"food",1,177,1
"PC001",1,"food",1,180,1
"PC001",1,"food",1,181,1
"PC001",1,"food",1,182,1
"PC001",1,"food",1,187,1
"PC001",1,"food",1,188,1
"PC001",1,"food",1,192,1
"PC001",1,"food",1,193,1
"PC001",1,"food",1,194,1
"PC001",1,"food",1,198,1
"PC001",1,"food",1,199,1
"PC001",1,"food",1,200,1
"PC001",1,"food",1,202,1
"PC001",1,"food",1,203,1
"PC001",1,"food",1,204,1
"PC001",1,"food",1,207,1
"PC001",1,"food",1,209,1
"PC001",1,"food",1,210,1
"PC001",1,"food",1,212,1
"PC001",1,"food",1,216,1
"PC001",1,"food",1,217,1
"PC001",1,"food",1,218,1
"PC001",1,"food",1,219,1
"PC001",1,"food",1,220,1
"PC001",1,"food",1,221,1
"PC001",1,"food",1,236,1
"PC001",1,"food",1,237,1
"PC001",1,"food",1,238,1
"PC001",1,"food",1,243,1
"PC001",1,"food",2,11,1
"PC001",1,"food",2,12,1
"PC001",1,"food",2,13,1
"PC001",1,"food",2,14,1
"PC001",1,"food",2,19,1
"PC001",1,"food",2,20,1
"PC001",1,"food",2,23,1
"PC001",1,"food",2,24,1
"PC001",1,"food",2,25,1
