subjectID,R1,R2
PC001,0,0
PC002,1,0
PC003,0,0
PC004,0,1
PC005,0,0
PC006,2,0
PC007,0,0
PC008,1,0
PC009,40,NaN
PC010,2,0
PC011,2,0
PC012,1,2
PC013,0,1
PC014,0,0
PC015,NaN,0
PC017,0,0
PC018,0,0
PC021,0,0
PC022,0,0
PC023,0,1
PC024,1,0
PC025,0,0
PC026,0,0
PC027,0,0
PC029,0,0
PC030,0,0
PC031,1,0
PC032,0,3
PC033,0,0
PC034,1,0
PC036,2,0
PC037,0,0
PC038,0,0
PC039,0,0
PC041,0,0
PC042,1,0
PC043,0,0
PC044,0,0
PC045,0,0
PC046,0,0
PC047,1,0
PC048,2,4
PC049,0,0
PC050,1,0
PC051,0,0
PC052,1,1
PC053,2,0
PC054,40,40
PC055,0,0
PC056,0,0
PC057,1,1
PC058,1,0
PC059,0,0
PC060,0,0
PC061,0,0
PC062,0,1
PC063,0,0
PC064,0,0
PC066,1,1
PC067,0,0
PC068,0,0
PC069,0,0
PC070,0,0
PC071,0,0
PC072,0,0
PC073,0,0
PC074,28,0
PC075,0,0
PC076,0,0
PC078,0,0
PC080,0,0
PC081,2,4
PC082,1,1
PC083,0,0
PC084,1,0
PC085,1,1
PC086,0,0
PC087,0,0
PC088,1,0
PC089,0,0
PC090,0,0
PC092,0,1
